split,epoch,phase,mode,episodes,total_steps,episode_return,original_episode_return,avg_reward,avg_original_reward,search_rate,found_targets,coverage_ratio,coverage_rate,error_rate,collision_count,collisions,shield_trigger_count,shield_trigger_rate,action_replacement_count,action_replacement_rate,episode_min_uav_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_mean_threat_margin,near_miss_count,near_miss_rate,avg_safe_action_count,avg_rec_action_count,min_safe_action_count,min_rec_action_count,dead_end_safe_count,dead_end_safe_rate,dead_end_rec_count,dead_end_rec_rate,shield_penalty_sum,shield_penalty_rate,shield_fallback_count,shield_agent_trigger_count
train,0,dense,off,1,120.0,-1498.2753019661934,-1498.2753019661934,-1498.2753019661934,-1498.2753019661934,1.0,10.0,1.0,1.0,0.4565152015790362,297.0,297.0,0.0,0.0,0.0,0.0,-1.0,9.499070566806548,-2.0,7.880121160345802,117.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval,0,dense,off,5,120.0,-1399.1213263706984,-1399.1213263706984,-1399.1213263706984,-1399.1213263706984,0.8800000000000001,8.8,0.741,0.741,0.47124363589139834,713.8,713.8,0.0,0.0,0.0,0.0,-1.0,5.903878919333026,-2.0,10.266537402693114,119.8,0.9983333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1,dense,off,1,120.0,-1378.2005261720763,-1378.2005261720763,-1378.2005261720763,-1378.2005261720763,1.0,10.0,1.0,1.0,0.45921288302813607,269.0,269.0,0.0,0.0,0.0,0.0,-1.0,9.754317767887905,-2.0,8.128117877374825,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2,dense,off,1,120.0,-1297.7260233509871,-1297.7260233509871,-1297.7260233509871,-1297.7260233509871,1.0,10.0,1.0,1.0,0.4543631104955715,254.0,254.0,0.0,0.0,0.0,0.0,-1.0,9.321722769436835,-2.0,7.058419843294946,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3,dense,off,1,120.0,-1259.1630233897758,-1259.1630233897758,-1259.1630233897758,-1259.1630233897758,1.0,10.0,1.0,1.0,0.4547422739342356,246.0,246.0,0.0,0.0,0.0,0.0,-1.0,8.957645515686277,-2.0,9.246037557582941,112.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4,dense,off,1,120.0,-1359.6522793977445,-1359.6522793977445,-1359.6522793977445,-1359.6522793977445,1.0,10.0,1.0,1.0,0.45412079717366255,282.0,282.0,0.0,0.0,0.0,0.0,-1.0,9.593227698169652,-2.0,8.056653781592024,119.0,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,5,dense,off,1,120.0,-1125.6597908334836,-1125.6597908334836,-1125.6597908334836,-1125.6597908334836,1.0,10.0,1.0,1.0,0.4560349838253033,208.0,208.0,0.0,0.0,0.0,0.0,-1.0,9.808361135484455,-2.0,7.825591141053214,113.0,0.9416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,6,dense,off,1,120.0,-1240.7790626932804,-1240.7790626932804,-1240.7790626932804,-1240.7790626932804,1.0,10.0,1.0,1.0,0.45726490761027494,236.0,236.0,0.0,0.0,0.0,0.0,-1.0,10.132526918685308,-2.0,8.993947853658414,117.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,7,dense,off,1,120.0,-1117.694319268771,-1117.694319268771,-1117.694319268771,-1117.694319268771,1.0,10.0,1.0,1.0,0.4547312707185101,218.0,218.0,0.0,0.0,0.0,0.0,-1.0,10.275268398453006,-2.0,8.544387298331369,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,8,dense,off,1,120.0,-1271.9577992671273,-1271.9577992671273,-1271.9577992671273,-1271.9577992671273,1.0,10.0,1.0,1.0,0.4598876359463657,234.0,234.0,0.0,0.0,0.0,0.0,-1.0,9.417504519254857,-2.0,9.10070668325211,119.0,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,9,dense,off,1,120.0,-1263.8139374809512,-1263.8139374809512,-1263.8139374809512,-1263.8139374809512,1.0,10.0,1.0,1.0,0.4557908284868202,265.0,265.0,0.0,0.0,0.0,0.0,-1.0,8.721962599515203,-2.0,7.670313741024797,119.0,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,10,dense,off,1,120.0,-1260.149429594282,-1260.149429594282,-1260.149429594282,-1260.149429594282,1.0,10.0,1.0,1.0,0.4617443677121314,246.0,246.0,0.0,0.0,0.0,0.0,-1.0,9.234858525926295,-2.0,7.959740171647604,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,11,dense,off,1,120.0,-1167.1602054502318,-1167.1602054502318,-1167.1602054502318,-1167.1602054502318,1.0,10.0,1.0,1.0,0.4577387289255492,247.0,247.0,0.0,0.0,0.0,0.0,-1.0,9.521729862905193,-2.0,8.608543138182565,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,12,dense,off,1,120.0,-959.8196858591228,-959.8196858591228,-959.8196858591228,-959.8196858591228,1.0,10.0,1.0,1.0,0.4543040814461733,200.0,200.0,0.0,0.0,0.0,0.0,-1.0,9.722691477816847,-2.0,10.160947226620662,112.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,13,dense,off,1,120.0,-1193.2972716022323,-1193.2972716022323,-1193.2972716022323,-1193.2972716022323,1.0,10.0,1.0,1.0,0.457643539650944,227.0,227.0,0.0,0.0,0.0,0.0,-1.0,9.679791964867597,-2.0,8.126120103481695,116.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,14,dense,off,1,120.0,-1173.5930922401242,-1173.5930922401242,-1173.5930922401242,-1173.5930922401242,1.0,10.0,1.0,1.0,0.45723664533397723,238.0,238.0,0.0,0.0,0.0,0.0,-1.0,9.498266173288895,-2.0,8.604047433394914,116.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,15,dense,off,1,120.0,-1319.6247309821917,-1319.6247309821917,-1319.6247309821917,-1319.6247309821917,1.0,10.0,1.0,1.0,0.46052342775027344,253.0,253.0,0.0,0.0,0.0,0.0,-1.0,9.272513684975594,-2.0,9.571759530911015,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,16,dense,off,1,120.0,-1204.3781504765284,-1204.3781504765284,-1204.3781504765284,-1204.3781504765284,1.0,10.0,1.0,1.0,0.45707736719321274,257.0,257.0,0.0,0.0,0.0,0.0,-1.0,8.85185866442929,-2.0,9.456255310848583,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,17,dense,off,1,120.0,-1189.751253109452,-1189.751253109452,-1189.751253109452,-1189.751253109452,1.0,10.0,1.0,1.0,0.4602714864639222,238.0,238.0,0.0,0.0,0.0,0.0,-1.0,9.73228925300653,-2.0,8.444798804774596,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,18,dense,off,1,120.0,-1346.4200092710078,-1346.4200092710078,-1346.4200092710078,-1346.4200092710078,1.0,10.0,1.0,1.0,0.4568939030276455,310.0,310.0,0.0,0.0,0.0,0.0,-1.0,9.172068641623135,-2.0,8.106843277858818,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,19,dense,off,1,120.0,-1549.9928990817145,-1549.9928990817145,-1549.9928990817145,-1549.9928990817145,1.0,10.0,1.0,1.0,0.4602344580100118,325.0,325.0,0.0,0.0,0.0,0.0,-1.0,8.534403083093407,-2.0,8.021142196399396,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,20,dense,off,1,120.0,-1407.6708169995784,-1407.6708169995784,-1407.6708169995784,-1407.6708169995784,1.0,10.0,1.0,1.0,0.4573019770917033,319.0,319.0,0.0,0.0,0.0,0.0,-1.0,9.41640491066033,-2.0,7.627133532766569,119.0,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,21,dense,off,1,120.0,-973.8598635128933,-973.8598635128933,-973.8598635128933,-973.8598635128933,1.0,10.0,1.0,1.0,0.4578299186677438,206.0,206.0,0.0,0.0,0.0,0.0,-1.0,9.514556046929426,-2.0,8.82242490651045,114.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,22,dense,off,1,120.0,-1288.051326119371,-1288.051326119371,-1288.051326119371,-1288.051326119371,1.0,10.0,1.0,1.0,0.45294315813536207,321.0,321.0,0.0,0.0,0.0,0.0,-1.0,8.630411588646917,-2.0,8.135940228653514,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,23,dense,off,1,120.0,-816.2397468868139,-816.2397468868139,-816.2397468868139,-816.2397468868139,1.0,10.0,0.995,0.995,0.45644263458077033,202.0,202.0,0.0,0.0,0.0,0.0,-1.0,8.207290525482671,-2.0,9.212718692758735,116.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,24,dense,off,1,120.0,-1234.4228511312976,-1234.4228511312976,-1234.4228511312976,-1234.4228511312976,1.0,10.0,1.0,1.0,0.4568387844798135,259.0,259.0,0.0,0.0,0.0,0.0,-1.0,9.91135682603131,-2.0,7.622622596559319,118.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,25,dense,off,1,120.0,-919.3332546443534,-919.3332546443534,-919.3332546443534,-919.3332546443534,1.0,10.0,1.0,1.0,0.46080314312022497,232.0,232.0,0.0,0.0,0.0,0.0,-1.0,8.995627944853227,-2.0,8.270371621301084,116.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,26,dense,off,1,120.0,-1678.770667206703,-1678.770667206703,-1678.770667206703,-1678.770667206703,1.0,10.0,1.0,1.0,0.46262753548538854,378.0,378.0,0.0,0.0,0.0,0.0,-1.0,8.895625608119756,-2.0,7.280096944107948,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
