split,epoch,phase,mode,episodes,total_steps,episode_return,original_episode_return,avg_reward,avg_original_reward,search_rate,found_targets,coverage_ratio,coverage_rate,error_rate,collision_count,collisions,shield_trigger_count,shield_trigger_rate,action_replacement_count,action_replacement_rate,episode_min_uav_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_mean_threat_margin,near_miss_count,near_miss_rate,avg_safe_action_count,avg_rec_action_count,min_safe_action_count,min_rec_action_count,dead_end_safe_count,dead_end_safe_rate,dead_end_rec_count,dead_end_rec_rate,shield_penalty_sum,shield_penalty_rate,shield_fallback_count,shield_agent_trigger_count
train,0,dense,recursive,1,120.0,-966.9641085102342,-861.9641085102344,-966.9641085102342,-861.9641085102344,1.0,10.0,1.0,1.0,0.45985202980102,150.0,150.0,105.0,0.875,105.0,0.875,-1.0,10.172839175401934,-2.0,8.535653015833178,103.0,0.8583333333333333,1.9741666666666664,1.1891666666666665,0.0,0.0,94.0,0.7833333333333333,108.0,0.9,105.0,0.875,94.0,840.0
eval,0,dense,recursive,5,120.0,-1162.7044134664743,-1051.3044134664744,-1162.7044134664743,-1051.3044134664744,0.9199999999999999,9.2,0.8394999999999999,0.8394999999999999,0.46746394469563357,337.8,337.8,111.4,0.9283333333333333,17.0,0.14166666666666666,-1.0,6.299960002607946,-2.0,10.05145163358297,115.4,0.9616666666666667,0.8986666666666666,0.47800000000000004,0.0,0.0,106.6,0.8883333333333333,114.0,0.95,111.4,0.9283333333333333,106.6,1018.0
train,1,dense,recursive,1,120.0,-1417.1360685526056,-1309.1360685526056,-1417.1360685526056,-1309.1360685526056,1.0,10.0,1.0,1.0,0.45640945173532743,251.0,251.0,108.0,0.9,108.0,0.9,-1.0,8.682215260961813,-2.0,7.581705106364302,116.0,0.9666666666666667,1.2808333333333333,0.565,0.0,0.0,103.0,0.8583333333333333,114.0,0.95,108.0,0.9,103.0,965.0
train,2,dense,recursive,1,120.0,-1118.102718286216,-1017.102718286216,-1118.102718286216,-1017.102718286216,1.0,10.0,1.0,1.0,0.45180521329402085,177.0,177.0,101.0,0.8416666666666667,101.0,0.8416666666666667,-1.0,9.17719101349679,-2.0,8.154163914348569,107.0,0.8916666666666667,2.3141666666666665,1.3033333333333335,0.0,0.0,89.0,0.7416666666666667,105.0,0.875,101.0,0.8416666666666667,89.0,791.0
train,3,dense,recursive,1,120.0,-1296.8202248279179,-1187.8202248279176,-1296.8202248279179,-1187.8202248279176,1.0,10.0,1.0,1.0,0.45636671687647257,220.0,220.0,109.0,0.9083333333333333,109.0,0.9083333333333333,-1.0,9.274577968920799,-2.0,8.210312106120393,111.0,0.925,1.3941666666666668,0.8133333333333332,0.0,0.0,103.0,0.8583333333333333,112.0,0.9333333333333333,109.0,0.9083333333333333,103.0,950.0
train,4,dense,recursive,1,120.0,-1059.478267117176,-959.4782671171761,-1059.478267117176,-959.4782671171761,1.0,10.0,1.0,1.0,0.4532994265021877,164.0,164.0,100.0,0.8333333333333334,100.0,0.8333333333333334,-1.0,10.116668736979568,-2.0,8.433227426986486,104.0,0.8666666666666667,2.015833333333333,1.0191666666666668,0.0,0.0,91.0,0.7583333333333333,106.0,0.8833333333333333,100.0,0.8333333333333334,91.0,833.0
train,5,dense,recursive,1,120.0,-964.5462503222385,-859.5462503222386,-964.5462503222385,-859.5462503222386,1.0,10.0,1.0,1.0,0.45910060183649776,141.0,141.0,105.0,0.875,105.0,0.875,-1.0,9.38015784992899,-2.0,8.226651655801257,108.0,0.9,2.1533333333333333,1.2708333333333333,0.0,0.0,89.0,0.7416666666666667,106.0,0.8833333333333333,105.0,0.875,89.0,826.0
train,6,dense,recursive,1,120.0,-1044.8939389087877,-941.8939389087878,-1044.8939389087877,-941.8939389087878,1.0,10.0,1.0,1.0,0.45490667253218364,162.0,162.0,103.0,0.8583333333333333,103.0,0.8583333333333333,-1.0,9.252726421133255,-2.0,8.175099929742201,104.0,0.8666666666666667,2.078333333333333,1.3758333333333335,0.0,0.0,92.0,0.7666666666666667,102.0,0.85,103.0,0.8583333333333333,92.0,826.0
train,7,dense,recursive,1,120.0,-1078.8879282532794,-978.8879282532794,-1078.8879282532794,-978.8879282532794,1.0,10.0,1.0,1.0,0.4568768309659943,190.0,190.0,100.0,0.8333333333333334,100.0,0.8333333333333334,-1.0,9.680137691910817,-2.0,7.506088360254799,109.0,0.9083333333333333,1.9675,0.7658333333333334,0.0,0.0,95.0,0.7916666666666666,112.0,0.9333333333333333,100.0,0.8333333333333334,95.0,852.0
train,8,dense,recursive,1,120.0,-927.7524746661578,-835.7524746661578,-927.7524746661578,-835.7524746661578,1.0,10.0,1.0,1.0,0.4544523799960734,145.0,145.0,92.0,0.7666666666666667,92.0,0.7666666666666667,-1.0,9.789086670347972,-2.0,9.311201820234384,94.0,0.7833333333333333,2.606666666666667,1.6391666666666667,0.0,0.0,78.0,0.65,96.0,0.8,92.0,0.7666666666666667,78.0,725.0
