model,checkpoint,seed,episodes,action_replacement_count,action_replacement_rate,avg_original_reward,avg_rec_action_count,avg_reward,avg_safe_action_count,collision_count,collisions,coverage_rate,coverage_ratio,dead_end_rec_count,dead_end_rec_rate,dead_end_safe_count,dead_end_safe_rate,episode_mean_threat_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_min_uav_margin,episode_return,episode_steps,error_rate,found_targets,min_rec_action_count,min_safe_action_count,mode_is_recursive,near_miss_count,near_miss_rate,original_episode_return,perf_future_cache_hit_rate,perf_predict_cache_hit_rate,perf_predict_time_ms,perf_recursive_candidate_checks,perf_recursive_gate_run_rate,perf_recursive_gate_skip_rate,perf_recursive_time_ms,perf_refine_time_ms,perf_rule_mask_time_ms,perf_safe_cache_hit_rate,perf_safe_time_ms,perf_shield_time_ms,perf_shield_time_ratio,perf_stats_time_ms,perf_step_time_ms,perf_steps_per_sec,search_rate,shield_agent_trigger_count,shield_fallback_count,shield_penalty_rate,shield_penalty_sum,shield_trigger_count,shield_trigger_rate,total_steps
off,checkpoints/baseline_mappo_off_dense2000/best.pt,1,20,0.0,0.0,-1080.8623492758823,0.0,-1080.8623492758823,0.0,269.55,269.55,1.0,1.0,0.0,0.0,0.0,0.0,8.90897984529248,9.906576562862835,-2.0,-1.0,-1080.8623492758823,120.0,0.458828000345067,10.0,0.0,0.0,0.0,116.3,0.9691666666666666,-1080.8623492758823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006995653723909831,9.897093332450217,101.30725116085893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,2,20,0.0,0.0,-1095.5472253002897,0.0,-1095.5472253002897,0.0,268.7,268.7,1.0,1.0,0.0,0.0,0.0,0.0,8.729720282849765,9.804026094900395,-2.0,-1.0,-1095.5472253002897,120.0,0.4599434731379712,10.0,0.0,0.0,0.0,116.8,0.9733333333333334,-1095.5472253002897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006476554214411105,9.711648915108526,102.99941736159306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,3,20,0.0,0.0,-1159.0670099478434,0.0,-1159.0670099478434,0.0,298.05,298.05,1.0,1.0,0.0,0.0,0.0,0.0,8.770989851126128,9.910464181943611,-2.0,-1.0,-1159.0670099478434,120.0,0.4579144521640659,10.0,0.0,0.0,0.0,116.85,0.9737499999999999,-1159.0670099478434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006534021958941592,9.709263310990838,103.0029659626246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,4,20,0.0,0.0,-1049.2633371057102,0.0,-1049.2633371057102,0.0,271.3,271.3,1.0,1.0,0.0,0.0,0.0,0.0,8.976357654961381,9.897031867489433,-2.0,-1.0,-1049.2633371057102,120.0,0.45828528768659976,10.0,0.0,0.0,0.0,116.6,0.9716666666666667,-1049.2633371057102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006520337095328918,9.71132788360895,102.99666862984313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,5,20,0.0,0.0,-1065.0752053098818,0.0,-1065.0752053098818,0.0,268.95,268.95,1.0,1.0,0.0,0.0,0.0,0.0,8.840163612652848,9.757524635843001,-2.0,-1.0,-1065.0752053098818,120.0,0.45878907794802243,10.0,0.0,0.0,0.0,116.7,0.9724999999999999,-1065.0752053098818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006508339477780586,9.729241451617174,102.79788834824849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,6,20,0.0,0.0,-1100.6633554670202,0.0,-1100.6633554670202,0.0,275.05,275.05,1.0,1.0,0.0,0.0,0.0,0.0,8.736268389356919,9.700880504137098,-2.0,-1.0,-1100.6633554670202,120.0,0.4584571404931226,10.0,0.0,0.0,0.0,116.05,0.9670833333333334,-1100.6633554670202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006523778138216587,9.746557057320995,102.61307849502434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,7,20,0.0,0.0,-1083.6558948029049,0.0,-1083.6558948029049,0.0,283.55,283.55,1.0,1.0,0.0,0.0,0.0,0.0,8.809878491105994,9.843737202172742,-2.0,-1.0,-1083.6558948029049,120.0,0.4575339890583012,10.0,0.0,0.0,0.0,117.85,0.9820833333333334,-1083.6558948029049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006519694967816273,9.747950305900304,102.59550247252555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,8,20,0.0,0.0,-1063.0693591001057,0.0,-1063.0693591001057,0.0,286.8,286.8,0.998625,0.998625,0.0,0.0,0.0,0.0,8.660039377215492,9.439356158518915,-2.0,-1.0,-1063.0693591001057,120.0,0.4572300129055771,10.0,0.0,0.0,0.0,117.75,0.98125,-1063.0693591001057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006528884599295756,9.782550376306364,102.24010397302156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,9,20,0.0,0.0,-1111.9955545045145,0.0,-1111.9955545045145,0.0,301.3,301.3,1.0,1.0,0.0,0.0,0.0,0.0,8.900599534654216,9.690071412945972,-2.0,-1.0,-1111.9955545045145,120.0,0.4577404298352037,10.0,0.0,0.0,0.0,118.05,0.98375,-1111.9955545045145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00654032570309937,9.736479705413029,102.72123223608807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,10,20,0.0,0.0,-1121.2719762860954,0.0,-1121.2719762860954,0.0,282.8,282.8,1.0,1.0,0.0,0.0,0.0,0.0,8.90765021599834,9.776810115816883,-2.0,-1.0,-1121.2719762860954,120.0,0.4573891073891965,10.0,0.0,0.0,0.0,117.7,0.9808333333333332,-1121.2719762860954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065502364304848015,9.742353753196465,102.65224261160299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
